"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1330167597.76536","1320670391.06145","1379888268.15642","1531843575.41899","1665363128.49162","1722798882.68156","1873452513.96648","1920262569.8324","1941094972.06704","2021301675.97765","2228279329.60894","2331005586.59218","2421474860.3352","2623726256.98324","2791960893.85475","2498932960.89385","2467703910.61453","2584463687.15084","","",
"Andorra","AND","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","78617570.3229253","89406659.5140116","113414331.870944","150841699.110766","186557164.008677","220112850.775998","227284165.925171","253998069.145235","308020384.39595","411548246.761169","446377494.880496","388983013.897495","375914742.918141","327849949.00321","330073024.937292","346742901.743383","481996232.885864","611300198.45912","721426027.475386","795489397.964069","1028989439.40715","1106890942.98847","1209992604.28817","1007090896.43735","1017544619.09316","1178745261.82826","1224023469.69136","1180646037.01274","1211953953.56155","1239840265.63345","1133644294.5425","1264760246.44075","1456198796.29382","1917948475.27513","2322163502.26295","2539759285.92747","2823503852.62328","3245411583.7197","3712034266.50674","","","","","",
"Afghanistan","AFG","GDP (current US$)","NY.GDP.MKTP.CD","537777811.911111","548888894.577778","546666678.044444","751111190.755556","800000045.511111","1006666638.22222","1399999965.86667","1673333418.66667","1373333367.46667","1408888923.02222","1748886596.26667","1831108972.08889","1595555475.91111","1733333265.06667","2155555498.66667","2366666615.46667","2555555566.93333","2953333418.66667","3300000108.08889","3697940345.14177","3641723447.18433","3478787909.81818","","","","","","","","","","","","","","","","","","","","2461666314.78366","4128818042.61749","4583648921.74369","5285461998.97866","6275076015.72254","7057597615.29559","9843851008.65578","10190534636.4958","12486950468.7364","15936784436.1811","17870159081.5143","20496777409.458","",
"Angola","AGO","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","6804278062.62664","6355849179.35458","7383121653.67413","7975234067.37627","9283054576.2006","10260193360.6806","12193746624.6789","5779394291.7582","5285600050.3455","4059577145.36303","5039534776.4902","7526446605.51712","7648377412.83277","6445041824.66621","6152922942.98032","9129594818.60749","8936079252.77131","12497346042.8261","14188949239.8095","19640862549.6511","28233699240.3249","41789494461.5461","60448890972.4218","84178086998.6708","75492417649.3276","82470894868.3337","104115863405.183","114147030253.231","",
"Albania","ALB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","1924242456.27134","1965384580.6465","2173750016","2156624896","2126000000","2335124992","2101624960","1139166679.0665","709452572.658102","1228071037.41335","1985673025.89461","2424498952.88127","3013217852.57366","2196223713.8105","2727745453.08283","3434402453.41057","3686649387.03405","4091020249.36656","4449373455.56632","5652325081.59963","7464446950.02559","8376483740.48289","9132562332.43024","10704661570.5584","12968652890.9091","12118580597.0542","11858166294.8409","12959563902.4015","12648095824.4086","",
"Arab World","ARB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","34290911919.2381","38079564301.5145","41570893872.3634","48202915293.8918","58066103432.7681","73919633118.6943","139500375919.911","153858434291.174","190472089481.695","220221643943.517","241372285714.069","318904241331.638","428925872477.036","461079889126.49","421840585406.58","394628789330.046","393716037754.62","386202901909.457","365682278205.487","389032531640.408","373743549633.722","391734443870.187","440698260258.101","433476996282.91","464072521779.663","469805173123.377","480349758849.15","515604922239.81","569468342373.765","605214631589.468","587516735057.942","634222169376.861","726387152357.065","712992304445.908","723333359523.228","814878976970.564","959760322901.021","1176005290522.1","1399591456282.45","1635063378876.06","2077379777481.27","1788096777674.61","2105422859708.64","2562258481919.09","2758720013853.45","",
"United Arab Emirates","ARE","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","14720672892.0843","19213022856.0617","24871774865.6257","23775831263.3068","31225462774.4732","43598747466.6017","49333424083.8485","46622718556.8369","42803323300.6587","41807954192.4585","40603650189.3515","33943612059.5247","36384908706.4022","36275674165.5187","41464995870.8318","50701443695.6113","51552165568.876","54239171831.4067","55625170195.5344","59305093918.2154","65743666507.5477","73571233919.7352","78839008362.6404","75674338444.807","84445475523.1266","104337375342.526","103311643522.892","109816204634.494","124346361618.639","147824374542.517","180617023539.137","222105928740.596","257916140791.417","315474644818.136","254803438183.783","287421818965.758","348594945287.696","383799194080.908","",
"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD","","","24450604877.6081","18272123664.4715","25605249381.7597","28344705967.5816","28630474726.3365","24256667554.62","26436857248.0056","31256284544.7361","31584210364.5523","33293199094.6727","34733000536.4685","52544000117.2532","72436777341.9953","52438647921.8723","51169499890.7757","56781000100.9442","58082870156.265","69252328953.3803","76961923741.9469","78676842366.4213","84307486836.724","103979106777.911","79092001998.032","88416668900.2596","110934442762.694","111106191358.197","126206817196.091","76636898036.4712","141352368714.691","189719989668.103","228779382768.151","236753563469.871","257440000000","258031750000","272149750000","292859000000","298948250000","283523000000","284203750000","268696750000","102040286874.385","129597154256.313","153129509710.176","183193418481.532","214066154250.003","260768703249.434","326582808527.135","307155148184.324","368736062143.669","446044143596.268","475501675472.598","",
"Armenia","ARM","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2256838858.42714","2068526521.90299","1272577521.7683","1201313196.45626","1315158670.47971","1468317350.02343","1596968913.19202","1639492424.38103","1893726437.35976","1845482181.48539","1911563665.39006","2118467913.37873","2376335048.39976","2807061008.69084","3576615240.41616","4900436758.50466","6384457744.44765","9206277478.95229","11662017844.8868","8648015304.9989","9260297329.12273","10142408118.3387","9950522732.78837","",
"American Samoa","ASM","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
