year,matchNumber,venue,home,homeCode,homeId,away,awayCode,awayId,link,result
1994,Match 21,Orlando,Belgium,BEL,43935,Netherlands,NED,43960,/worldcup/matches/round=337/match=3069/index.html#nosticky,1-0
1994,Match 22,New York/New Jersey,Saudi Arabia,KSA,43835,Morocco,MAR,43872,/worldcup/matches/round=337/match=3070/index.html#nosticky,2-1
1994,Match 23,Boston,Argentina,ARG,43922,Nigeria,NGA,43876,/worldcup/matches/round=337/match=3071/index.html#nosticky,2-1
1994,Match 24,Chicago,Bulgaria,BUL,43936,Greece,GRE,43949,/worldcup/matches/round=337/match=3072/index.html#nosticky,4-0
1994,Match 25,Los Angeles,USA,USA,43921,Romania,ROU,43964,/worldcup/matches/round=337/match=3073/index.html#nosticky,0-1
1994,Match 26,San Francisco,Switzerland,SUI,43971,Colombia,COL,43926,/worldcup/matches/round=337/match=3074/index.html#nosticky,0-2
1994,Match 28,Dallas,Germany,GER,43948,Korea Republic,KOR,43822,/worldcup/matches/round=337/match=3076/index.html#nosticky,3-2
1994,Match 27,Chicago,Bolivia,BOL,43923,Spain,ESP,43969,/worldcup/matches/round=337/match=3075/index.html#nosticky,1-3
1994,Match 29,New York/New Jersey,Republic of Ireland,IRL,43953,Norway,NOR,43961,/worldcup/matches/round=337/match=3077/index.html#nosticky,0-0
1994,Match 32,Detroit,Brazil,BRA,43924,Sweden,SWE,43970,/worldcup/matches/round=337/match=3080/index.html#nosticky,1-1
1994,Match 30,Washington Dc,Italy,ITA,43954,Mexico,MEX,43911,/worldcup/matches/round=337/match=3078/index.html#nosticky,1-1
1994,Match 31,San Francisco,Russia,RUS,43965,Cameroon,CMR,43849,/worldcup/matches/round=337/match=3079/index.html#nosticky,6-1
1994,Match 33,Orlando,Morocco,MAR,43872,Netherlands,NED,43960,/worldcup/matches/round=337/match=3081/index.html#nosticky,1-2
1994,Match 34,Washington Dc,Belgium,BEL,43935,Saudi Arabia,KSA,43835,/worldcup/matches/round=337/match=3082/index.html#nosticky,0-1
1994,Match 35,Boston,Greece,GRE,43949,Nigeria,NGA,43876,/worldcup/matches/round=337/match=3083/index.html#nosticky,0-2
1994,Match 36,Dallas,Argentina,ARG,43922,Bulgaria,BUL,43936,/worldcup/matches/round=337/match=3084/index.html#nosticky,0-2
1994,Match 37,Chicago,Germany,GER,43948,Belgium,BEL,43935,/worldcup/matches/round=338/match=3085/index.html#nosticky,3-2
1994,Match 38,Washington Dc,Spain,ESP,43969,Switzerland,SUI,43971,/worldcup/matches/round=338/match=3086/index.html#nosticky,3-0
1994,Match 39,Dallas,Saudi Arabia,KSA,43835,Sweden,SWE,43970,/worldcup/matches/round=338/match=3087/index.html#nosticky,1-3
1994,Match 40,Los Angeles,Romania,ROU,43964,Argentina,ARG,43922,/worldcup/matches/round=338/match=3088/index.html#nosticky,3-2
1994,Match 41,Orlando,Netherlands,NED,43960,Republic of Ireland,IRL,43953,/worldcup/matches/round=338/match=3089/index.html#nosticky,2-0
1994,Match 42,San Francisco,Brazil,BRA,43924,USA,USA,43921,/worldcup/matches/round=338/match=3090/index.html#nosticky,1-0
1994,Match 43,Boston,Nigeria,NGA,43876,Italy,ITA,43954,/worldcup/matches/round=338/match=3091/index.html#nosticky,1-2
1994,Match 44,New York/New Jersey,Mexico,MEX,43911,Bulgaria,BUL,43936,/worldcup/matches/round=338/match=3092/index.html#nosticky,1-1
1994,Match 45,Boston,Italy,ITA,43954,Spain,ESP,43969,/worldcup/matches/round=796/match=3097/index.html#nosticky,2-1
1994,Match 46,Dallas,Netherlands,NED,43960,Brazil,BRA,43924,/worldcup/matches/round=796/match=3098/index.html#nosticky,2-3
1994,Match 47,New York/New Jersey,Bulgaria,BUL,43936,Germany,GER,43948,/worldcup/matches/round=796/match=3096/index.html#nosticky,2-1
1994,Match 48,San Francisco,Romania,ROU,43964,Sweden,SWE,43970,/worldcup/matches/round=796/match=3095/index.html#nosticky,2-2
1994,Match 49,New York/New Jersey,Bulgaria,BUL,43936,Italy,ITA,43954,/worldcup/matches/round=3461/match=3100/index.html#nosticky,1-2
1994,Match 50,Los Angeles,Sweden,SWE,43970,Brazil,BRA,43924,/worldcup/matches/round=3461/match=3099/index.html#nosticky,0-1
1994,Match 51,Los Angeles,Sweden,SWE,43970,Bulgaria,BUL,43936,/worldcup/matches/round=3460/match=3103/index.html#nosticky,4-0
1994,Match 52,Los Angeles,Brazil,BRA,43924,Italy,ITA,43954,/worldcup/matches/round=3459/match=3104/index.html#nosticky,0-0
1990,Match 1,Milan,Argentina,ARG,43922,Cameroon,CMR,43849,/worldcup/matches/round=322/match=26/index.html#nosticky,0-1
1990,Match 2,Bari,Soviet Union,URS,44026,Romania,ROU,43964,/worldcup/matches/round=322/match=342/index.html#nosticky,0-2
1990,Match 4,Bologna,United Arab Emirates,UAE,43840,Colombia,COL,43926,/worldcup/matches/round=322/match=119/index.html#nosticky,0-2
1990,Match 3,Rome,Italy,ITA,43954,Austria,AUT,43934,/worldcup/matches/round=322/match=42/index.html#nosticky,1-0
1990,Match 5,Florence,USA,USA,43921,Czechoslovakia,TCH,44025,/worldcup/matches/round=322/match=355/index.html#nosticky,1-5
1990,Match 6,Turin,Brazil,BRA,43924,Sweden,SWE,43970,/worldcup/matches/round=322/match=75/index.html#nosticky,2-1
1990,Match 7,Milan,Germany FR,FRG,44023,Yugoslavia,YUG,43975,/worldcup/matches/round=322/match=201/index.html#nosticky,4-1
1990,Match 8,Genoa,Costa Rica,CRC,43901,Scotland,SCO,43967,/worldcup/matches/round=322/match=127/index.html#nosticky,1-0
1990,Match 9,Cagliari,England,ENG,43942,Republic of Ireland,IRL,43953,/worldcup/matches/round=322/match=161/index.html#nosticky,1-1
1990,Match 10,Verona,Belgium,BEL,43935,Korea Republic,KOR,43822,/worldcup/matches/round=322/match=57/index.html#nosticky,2-0
1990,Match 11,Palermo,Netherlands,NED,43960,Egypt,EGY,43855,/worldcup/matches/round=322/match=151/index.html#nosticky,1-1
1990,Match 12,Udine,Uruguay,URU,43930,Spain,ESP,43969,/worldcup/matches/round=322/match=180/index.html#nosticky,0-0
1990,Match 13,Naples,Argentina,ARG,43922,Soviet Union,URS,44026,/worldcup/matches/round=322/match=30/index.html#nosticky,2-0
1990,Match 16,Bari,Cameroon,CMR,43849,Romania,ROU,43964,/worldcup/matches/round=322/match=108/index.html#nosticky,2-1
1990,Match 14,Bologna,Yugoslavia,YUG,43975,Colombia,COL,43926,/worldcup/matches/round=322/match=120/index.html#nosticky,1-0
1990,Match 15,Rome,Italy,ITA,43954,USA,USA,43921,/worldcup/matches/round=322/match=265/index.html#nosticky,1-0
1990,Match 17,Florence,Austria,AUT,43934,Czechoslovakia,TCH,44025,/worldcup/matches/round=322/match=43/index.html#nosticky,0-1
1990,Match 18,Milan,Germany FR,FRG,44023,United Arab Emirates,UAE,43840,/worldcup/matches/round=322/match=198/index.html#nosticky,5-1
1990,Match 19,Turin,Brazil,BRA,43924,Costa Rica,CRC,43901,/worldcup/matches/round=322/match=73/index.html#nosticky,1-0
1990,Match 20,Genoa,Sweden,SWE,43970,Scotland,SCO,43967,/worldcup/matches/round=322/match=348/index.html#nosticky,1-2
1990,Match 21,Cagliari,England,ENG,43942,Netherlands,NED,43960,/worldcup/matches/round=322/match=160/index.html#nosticky,0-0
1990,Match 22,Palermo,Republic of Ireland,IRL,43953,Egypt,EGY,43855,/worldcup/matches/round=322/match=152/index.html#nosticky,0-0
1990,Match 24,Udine,Korea Republic,KOR,43822,Spain,ESP,43969,/worldcup/matches/round=322/match=175/index.html#nosticky,1-3
1990,Match 23,Verona,Belgium,BEL,43935,Uruguay,URU,43930,/worldcup/matches/round=322/match=66/index.html#nosticky,3-1
1990,Match 25,Naples,Argentina,ARG,43922,Romania,ROU,43964,/worldcup/matches/round=322/match=29/index.html#nosticky,1-1
1990,Match 26,Bari,Cameroon,CMR,43849,Soviet Union,URS,44026,/worldcup/matches/round=322/match=111/index.html#nosticky,0-4
1990,Match 27,Milan,Germany FR,FRG,44023,Colombia,COL,43926,/worldcup/matches/round=322/match=114/index.html#nosticky,1-1
1990,Match 28,Bologna,Yugoslavia,YUG,43975,United Arab Emirates,UAE,43840,/worldcup/matches/round=322/match=364/index.html#nosticky,4-1
