year,match_id,team_id,type,player_id
1998,8768,43921,STARTED,84703
1998,8768,43975,STARTED,158768
1998,8768,43975,STARTED,158756
1998,8768,43975,STARTED,158763
1998,8768,43975,STARTED,158765
1998,8768,43975,STARTED,54219
1998,8768,43975,STARTED,44667
1998,8768,43975,STARTED,158770
1998,8768,43975,STARTED,170749
1998,8768,43975,STARTED,158777
1998,8768,43975,STARTED,158773
1998,8768,43975,STARTED,170750
1998,8768,43921,SUBSTITUTE,158473
1998,8768,43921,SUBSTITUTE,78681
1998,8768,43921,SUBSTITUTE,44548
1998,8768,43921,SUBSTITUTE,44766
1998,8768,43921,SUBSTITUTE,158451
1998,8768,43921,SUBSTITUTE,158474
1998,8768,43921,SUBSTITUTE,158457
1998,8768,43921,SUBSTITUTE,84717
1998,8768,43921,SUBSTITUTE,174365
1998,8768,43921,SUBSTITUTE,174656
1998,8768,43921,SUBSTITUTE,77529
1998,8768,43975,SUBSTITUTE,158774
1998,8768,43975,SUBSTITUTE,158757
1998,8768,43975,SUBSTITUTE,158752
1998,8768,43975,SUBSTITUTE,252795
1998,8768,43975,SUBSTITUTE,174702
1998,8768,43975,SUBSTITUTE,158779
1998,8768,43975,SUBSTITUTE,158760
1998,8768,43975,SUBSTITUTE,158762
1998,8768,43975,SUBSTITUTE,163710
1998,8768,43975,SUBSTITUTE,159495
1998,8768,43975,SUBSTITUTE,158767
1990,74,43924,STARTED,63514
1990,74,43924,STARTED,63515
1990,74,43924,STARTED,63516
1990,74,43924,STARTED,170690
1990,74,43924,STARTED,63521
1990,74,43924,STARTED,63517
1990,74,43924,STARTED,63522
1990,74,43924,STARTED,55528
1990,74,43924,STARTED,63547
1990,74,43924,STARTED,63518
1990,74,43924,STARTED,168114
1990,74,43967,STARTED,174701
1990,74,43967,STARTED,174754
1990,74,43967,STARTED,174329
1990,74,43967,STARTED,192863
1990,74,43967,STARTED,174731
1990,74,43967,STARTED,174642
1990,74,43967,STARTED,174749
1990,74,43967,STARTED,174755
1990,74,43967,STARTED,174747
1990,74,43967,STARTED,174753
1990,74,43967,STARTED,174758
1990,74,43924,SUBSTITUTE,180663
1990,74,43924,SUBSTITUTE,63526
1990,74,43924,SUBSTITUTE,161054
1990,74,43924,SUBSTITUTE,63527
1990,74,43924,SUBSTITUTE,63545
1990,74,43924,SUBSTITUTE,63524
1990,74,43924,SUBSTITUTE,96461
1990,74,43924,SUBSTITUTE,63528
1990,74,43924,SUBSTITUTE,63529
1990,74,43924,SUBSTITUTE,252324
1990,74,43924,SUBSTITUTE,180664
1990,74,43967,SUBSTITUTE,174572
