id,home_id,home,home_code,away_id,away,away_code,h_score,a_score,date,stadium,round,world_cup,year,host,reasonWin
300186463,43909,Honduras,HON,43927,Ecuador,ECU,1,2,20 Jun 2014 - 19:00 Local time,Arena da Baixada,First stage - Group E,2014 FIFA World Cup Brazil,2014,Brazil,
1230,43975,Yugoslavia,YUG,43971,Switzerland,SUI,3,0,25 Jun 1950 - 15:00 Local time,Independencia,Group matches - Group 1,1950 FIFA World Cup Brazil,1950,Brazil,
1660,44023,Germany FR,FRG,43930,Uruguay,URU,4,0,23 Jul 1966 - 15:00 Local time,Hillsborough,Quarter-finals,1966 FIFA World Cup England,1966,England,
8768,43921,USA,USA,43975,Yugoslavia,YUG,0,1,25 Jun 1998 - 21:00 Local time,La Beaujoire,Group matches - Group F,1998 FIFA World Cup France,1998,France,
74,43924,Brazil,BRA,43967,Scotland,SCO,1,0,20 Jun 1990 - 21:00 Local time,Stadio delle Alpi,Group matches - Group C,1990 FIFA World Cup Italy,1990,Italy,
300061506,43928,Paraguay,PAR,43969,Spain,ESP,0,1,03 Jul 2010 - 20:30 Local time,Ellis Park Stadium,Quarter-finals,2010 FIFA World Cup South Africa,2010,South Africa,
1119,43950,Hungary,HUN,43855,Egypt,EGY,4,2,27 May 1934 - 16:30 Local time,Giorgio Ascarelli,Preliminary round,1934 FIFA World Cup Italy,1934,Italy,
439,43969,Spain,ESP,43924,Brazil,BRA,0,1,01 Jun 1986 - 12:00 Local time,Jalisco,Group matches - Group D,1986 FIFA World Cup Mexico,1986,Mexico,
3061,43876,Nigeria,NGA,43936,Bulgaria,BUL,3,0,21 Jun 1994 - 19:30 Local time,Cotton Bowl,Group matches - Group D,1994 FIFA World Cup USA,1994,USA,
2220,43960,Netherlands,NED,43934,Austria,AUT,5,1,14 Jun 1978 - 13:45 Local time,Estadio Olímpico Chateau Carreras,Second round - Group A,1978 FIFA World Cup Argentina,1978,Argentina,
8787,43960,Netherlands,NED,43938,Croatia,CRO,1,2,11 Jul 1998 - 21:00 Local time,Parc des Princes,Match for third place,1998 FIFA World Cup France,1998,France,
300331526,43872,Morocco,MAR,43817,IR Iran,IRN,0,1,15 Jun 2018 - 18:00      Local time,Saint Petersburg Stadium,"First stage - Group B,",2018 FIFA World Cup Russia,2018,Russia,
1637,44023,Germany FR,FRG,43969,Spain,ESP,2,1,20 Jul 1966 - 19:30 Local time,Villa Park,Group matches - Group 2,1966 FIFA World Cup England,1966,England,
878,43942,England,ENG,43946,France,FRA,3,1,16 Jun 1982 - 17:15 Local time,San Mames,Group matches - Group 4,1982 FIFA World Cup Spain,1982,Spain,
1764,43924,Brazil,BRA,43942,England,ENG,1,0,07 Jun 1970 - 12:00 Local time,Jalisco,Group matches - Group 3,1970 FIFA World Cup Mexico,1970,Mexico,
751,43922,Argentina,ARG,43904,El Salvador,SLV,2,0,23 Jun 1982 - 21:00 Local time,Jose Rico Perez,Group matches - Group 3,1982 FIFA World Cup Spain,1982,Spain,
300331530,43930,Uruguay,URU,43835,Saudi Arabia,KSA,1,0,20 Jun 2018 - 18:00      Local time,Rostov Arena,"First stage - Group A,",2018 FIFA World Cup Russia,2018,Russia,
8729,43835,Saudi Arabia,KSA,43941,Denmark,DEN,0,1,12 Jun 1998 - 17:30 Local time,Stade Felix Bollaert,Group matches - Group C,1998 FIFA World Cup France,1998,France,
1158,43970,Sweden,SWE,43902,Cuba,CUB,8,0,12 Jun 1938 - 17:00 Local time,Fort Carree,Quarter-finals,1938 FIFA World Cup France,1938,France,
43950028,43901,Costa Rica,CRC,43972,Turkey,TUR,1,1,09 Jun 2002 - 18:00 Local time,Incheon Football Stadium,Group matches - Group C,2002 FIFA World Cup Korea,2002,Korea,
300186475,43948,Germany,GER,43963,Portugal,POR,4,0,16 Jun 2014 - 13:00 Local time,Arena Fonte Nova,First stage - Group G,2014 FIFA World Cup Brazil,2014,Brazil,
1676,44026,Soviet Union,URS,43950,Hungary,HUN,2,1,23 Jul 1966 - 15:00 Local time,Roker Park Ground,Quarter-finals,1966 FIFA World Cup England,1966,England,
643,43822,Korea Republic,KOR,43954,Italy,ITA,2,3,10 Jun 1986 - 12:00 Local time,Cuauhtemoc,Group matches - Group A,1986 FIFA World Cup Mexico,1986,Mexico,
300061510,43930,Uruguay,URU,43948,Germany,GER,2,3,10 Jul 2010 - 20:30 Local time,Port Elizabeth Stadium,Match for third place,2010 FIFA World Cup South Africa,2010,South Africa,
3098,43960,Netherlands,NED,43924,Brazil,BRA,2,3,09 Jul 1994 - 14:30 Local time,Cotton Bowl,Quarter-finals,1994 FIFA World Cup USA,1994,USA,
1949,43922,Argentina,ARG,43954,Italy,ITA,1,1,19 Jun 1974 - 19:30 Local time,Neckarstadion,Group matches - Group 4,1974 FIFA World Cup Germany,1974,Germany FR,
3077,43953,Republic of Ireland,IRL,43961,Norway,NOR,0,0,28 Jun 1994 - 12:30 Local time,Giants Stadium,Group matches - Group E,1994 FIFA World Cup USA,1994,USA,
300061455,43949,Greece,GRE,43922,Argentina,ARG,0,2,22 Jun 2010 - 20:30 Local time,Peter Mokaba Stadium,First stage - Group B,2010 FIFA World Cup South Africa,2010,South Africa,
585,43930,Uruguay,URU,44023,Germany FR,FRG,1,1,04 Jun 1986 - 12:00 Local time,Estadio Corregidora,Group matches - Group E,1986 FIFA World Cup Mexico,1986,Mexico,
97410051,43942,England,ENG,43927,Ecuador,ECU,1,0,25 Jun 2006 - 17:00 Local time,Gottlieb-Daimler-Stadion,Round of 16,2006 FIFA World Cup Germany,2006,Germany,
43950004,43948,Germany,GER,43835,Saudi Arabia,KSA,8,0,01 Jun 2002 - 20:30 Local time,Sapporo Dome,Group matches - Group E,2002 FIFA World Cup Korea,2002,Korea,
1461,43924,Brazil,BRA,43911,Mexico,MEX,2,0,30 May 1962 - 15:00 Local time,Estadio Sausalito,Group matches - Group 3,1962 FIFA World Cup Chile,1962,Chile,
1174,43954,Italy,ITA,43950,Hungary,HUN,4,2,19 Jun 1938 - 17:00 Local time,Stade Olympique,Final,1938 FIFA World Cup France,1938,France,
511,43941,Denmark,DEN,43969,Spain,ESP,1,5,18 Jun 1986 - 16:00 Local time,Estadio Corregidora,Round of 16,1986 FIFA World Cup Mexico,1986,Mexico,
1877,43954,Italy,ITA,43984,Israel,ISR,0,0,11 Jun 1970 - 16:00 Local time,Luis Dosal,Group matches - Group 2,1970 FIFA World Cup Mexico,1970,Mexico,
395,43922,Argentina,ARG,43822,Korea Republic,KOR,3,1,02 Jun 1986 - 12:00 Local time,Estadio Olímpico Universitario,Group matches - Group A,1986 FIFA World Cup Mexico,1986,Mexico,
300186459,43901,Costa Rica,CRC,43949,Greece,GRE,1,1,29 Jun 2014 - 17:00 Local time,Arena Pernambuco,Round of 16,2014 FIFA World Cup Brazil,2014,Brazil,Costa Rica win on penalties (5 - 3)
680,43911,Mexico,MEX,43928,Paraguay,PAR,1,1,07 Jun 1986 - 12:00 Local time,Estadio Azteca,Group matches - Group B,1986 FIFA World Cup Mexico,1986,Mexico,
97410006,1890244,Serbia and Montenegro,SCG,43960,Netherlands,NED,0,1,11 Jun 2006 - 15:00 Local time,Zentralstadion,Group matches - Group C,2006 FIFA World Cup Germany,2006,Germany,
300061479,43928,Paraguay,PAR,43978,New Zealand,NZL,0,0,24 Jun 2010 - 16:00 Local time,Peter Mokaba Stadium,First stage - Group F,2010 FIFA World Cup South Africa,2010,South Africa,
43950053,43911,Mexico,MEX,43921,USA,USA,0,2,17 Jun 2002 - 15:30 Local time,Jeonju World Cup Stadium,Round of 16,2002 FIFA World Cup Korea,2002,Korea,
8752,43922,Argentina,ARG,43910,Jamaica,JAM,5,0,21 Jun 1998 - 17:30 Local time,Parc des Princes,Group matches - Group H,1998 FIFA World Cup France,1998,France,
1820,43911,Mexico,MEX,43904,El Salvador,SLV,4,0,07 Jun 1970 - 12:00 Local time,Estadio Azteca,Group matches - Group 1,1970 FIFA World Cup Mexico,1970,Mexico,
1089,43928,Paraguay,PAR,43935,Belgium,BEL,1,0,20 Jul 1930 - 15:00 Local time,Estadio Centenario,Group matches - Group 4,1930 FIFA World Cup Uruguay,1930,Uruguay,
1123,43954,Italy,ITA,43969,Spain,ESP,1,0,01 Jun 1934 - 16:30 Local time,Giovanni Berta,Quarter-finals,1934 FIFA World Cup Italy,1934,Italy,
97410010,43921,USA,USA,43995,Czech Republic,CZE,0,3,12 Jun 2006 - 18:00 Local time,"FIFA World Cup Stadium, Gelsenkirchen",Group matches - Group E,2006 FIFA World Cup Germany,2006,Germany,
1709,43963,Portugal,POR,44026,Soviet Union,URS,2,1,28 Jul 1966 - 19:30 Local time,Wembley Stadium,Match for third place,1966 FIFA World Cup England,1966,England,
43950045,43888,Tunisia,TUN,43819,Japan,JPN,0,2,14 Jun 2002 - 15:30 Local time,Osaka Nagai Stadium,Group matches - Group H,2002 FIFA World Cup Korea,2002,Korea,
1135,43954,Italy,ITA,43921,USA,USA,7,1,27 May 1934 - 16:30 Local time,Nazionale PNF,Preliminary round,1934 FIFA World Cup Italy,1934,Italy,
300061480,44002,Slovakia,SVK,43954,Italy,ITA,3,2,24 Jun 2010 - 16:00 Local time,Ellis Park Stadium,First stage - Group F,2010 FIFA World Cup South Africa,2010,South Africa,
2349,44023,Germany FR,FRG,43954,Italy,ITA,0,0,14 Jun 1978 - 13:45 Local time,El Monumental - Estadio Monumental Antonio Vespuci,Second round - Group A,1978 FIFA World Cup Argentina,1978,Argentina,
8744,43954,Italy,ITA,43849,Cameroon,CMR,3,0,17 Jun 1998 - 21:00 Local time,La Mosson,Group matches - Group B,1998 FIFA World Cup France,1998,France,
97410047,43835,Saudi Arabia,KSA,43969,Spain,ESP,0,1,23 Jun 2006 - 16:00 Local time,Fritz-Walter-Stadion,Group matches - Group H,2006 FIFA World Cup Germany,2006,Germany,
43950012,43812,China PR,CHN,43901,Costa Rica,CRC,0,2,04 Jun 2002 - 15:30 Local time,Gwangju World Cup Stadium,Group matches - Group C,2002 FIFA World Cup Korea,2002,Korea,
1532,43954,Italy,ITA,43971,Switzerland,SUI,3,0,07 Jun 1962 - 15:00 Local time,Nacional,Group matches - Group 2,1962 FIFA World Cup Chile,1962,Chile,
