player_id,year,player_name
"56587","1930","Ladislau Raffinsky"
"52463","1930","Nicolae Kovacs"
"47067","1930","Rudolf Buerger"
"59918","1930","Rudolf Wetzer"
"69401","1930","Samuel Zauber"
"69398","1930","Stefan Barbu"
"49893","1930","Alvaro Gestido"
"69411","1930","Angel Melogno"
"69413","1930","Carlos Riolfo"
"69410","1930","Conduelo Piriz"
"58837","1930","Domingo Tejera"
"69412","1930","Emilio Recoba"
"46133","1930","Enrique Ballestrero"
"53764","1930","Ernesto Mascheroni"
"47398","1930","Hector Castro"
"57652","1930","Hector Scarone"
"45617","1930","Jose Andrade"
"174795","1930","Jose Nasazzi"
"45675","1930","Juan Anselmo"
"69408","1930","Juan Carlos Calvo"
"49351","1930","Lorenzo Fernandez"
"69409","1930","Miguel Cappuccini"
"48687","1930","Pablo Dorado"
"47419","1930","Pedro Cea"
"56200","1930","Pedro Petrone"
"59283","1930","Santos Urdinaran"
"51279","1930","Victoriano Iriarte"
"69414","1930","Zoilo Saldombide"
"60034","1930","Alexander Wood"
"45930","1930","Andrew Auld"
"69426","1930","Arnie Oliver"
"53957","1930","Bart Mcghee"
"55992","1930","Bert Patenaude"
"50076","1930","Billy Gonsalves"
"69422","1930","Frank Vaughn"
"54468","1930","George Moorhouse"
"46989","1930","Jim Brown"
"69424","1930","Jim Gentle"
"48705","1930","Jimmy Douglas"
"49709","1930","Jimmy Gallagher"
"69423","1930","Mike Bookie"
"69425","1930","Phil Slone"
"59115","1930","Ralph Tracy"
"49494","1930","Tom Florie"
"61698","1930","Aleksandar Tirnanic"
"53657","1930","Blagoje Marjanovic"
"69378","1930","Branislav Hrnjicek"
"57803","1930","Branislav Sekulic"
"59734","1930","Djordje Vujadinovic"
"54213","1930","Dragan Mihajlovic"
"59085","1930","Dragan Tosic"
"54923","1930","Dragutin Najdanovic"
"46364","1930","Ivica Bek"
"58397","1930","Ljubisa Stefanovic"
"69376","1930","Milan Stojanovic"
"45819","1930","Milorad Arsenijevic"
"51407","1930","Milovan Jaksic"
"51343","1930","Milutin Ivkovic"
"48622","1930","Momcilo Djokic"
"69377","1930","Teofilo Spasojevic"
"314360","1930","Vlastimir Petkovic"
"49694","1934","Alberto Galateo"
"69474","1934","Alfonso Lorenzo"
"48333","1934","Alfredo De Vincenzi"
"69470","1934","Angel Grippa"
"53160","1934","Arcadio Lopez"
"59281","1934","Costantino Urbieta Sosa"
"69471","1934","Enrique Chimento"
"69472","1934","Ernesto Albarracin"
"46383","1934","Ernesto Belis"
"59939","1934","Federico Wilde"
"57181","1934","Francisco Rua"
"49606","1934","Hector Freschi"
"55028","1934","Jose Nehin"
"56047","1934","Juan Pedevilla"
"69473","1934","Luca Izzeta"
"70077","1934","Ramon Astudillo"
"51274","1934","Roberto Iraneta"
"69475","1934","Vincente Perez"
"69521","1934","Anton Janda"
"47794","1934","Franz Cisar"
"59758","1934","Franz Wagner"
"69519","1934","Friederich Franzl"
"46918","1934","Georg Braun"
"59280","1934","Hans Urbanek"
"51009","1934","Johann Horvath"
"59798","1934","Johann Walzhofer"
"174400","1934","Josef Bican"
"69524","1934","Josef Hassmann"
"58165","1934","Josef Smistik"
"58494","1934","Josef Stroh"
"44631","1934","Karl Sesta"
"60365","1934","Karl Zischek"
"50951","1934","Leopold Hofmann"
"69522","1934","Mathias Kaburek"
"44642","1934","Matthias Sindelar"
"174868","1934","Peter Platzer"
"59607","1934","Rudi Viertl"
"56589","1934","Rudolf Raftl"
"44608","1934","Toni Schall"
"69520","1934","Willi Schmaus"
"69454","1934","Albert Heremans"
"59389","1934","Andre Van De Weyer"
"46045","1934","Arnold Badjou"
"50795","1934","Auguste Hellemans"
"59711","1934","Bernard Voorhoof"
"69455","1934","Charles Simons"
"51567","1934","Costant Joacim"
"46861","1934","Desire Bourgeois"
"59887","1934","Felix Welkenhuysen"
"48478","1934","Francois De Vries"
"56051","1934","Frans Peeraer"
"69457","1934","Georges Putmans"
"46946","1934","Jean Brichaut"
"47272","1934","Jean Capelle"
"47807","1934","Jean Claessens"
"59420","1934","Jos Van Ingelgem"
"55923","1934","Jules Pappaert"
"50251","1934","Laurent Grimmonprez"
"59575","1934","Louis Versyp"
"58161","1934","Philibert Smellinckx"
"52860","1934","Rene Ledent"
"69458","1934","Robert Lamoot"
"69556","1934","Ariel"
"63828","1934","Armandinho"
"69554","1934","Attila"
"47251","1934","Canalli"
"69557","1934","Germano"
"63829","1934","Leonidas"
"63835","1934","Luisinho"
"53294","1934","Luiz Luz"
"63827","1934","Martim"
"69555","1934","Octacilio"
"63825","1934","Patesko"
"56049","1934","Pedrosa"
"63826","1934","Sylvio Hoffmann"
"58980","1934","Tinoco"
"48289","1934","Waldemar De Britto"
"69558","1934","Waldyr"
"174884","1934","Antonin Puc"
"69494","1934","Antonin Vodicka"
"69493","1934","Cestmir Patzel"
"51705","1934","Frantisek Junek"
"174865","1934","Frantisek Planicka"
"58627","1934","Frantisek Svoboda"
"69495","1934","Geza Kalocsay"
"174424","1934","Jaroslav Boucek"
"47071","1934","Jaroslav Burgr"
"58193","1934","Jiri Sobotka"
"174482","1934","Josef Ctyroky"
"174679","1934","Josef Kostalek"
"58020","1934","Josef Silny"
"44780","1934","Ladislav Zenisek"
"174799","1934","Oldrich Nejedly"
"52495","1934","Rudolf Krcil"
"174452","1934","Stefan Cambal"
"174678","1934","Vlastimil Kopecky"
"49294","1934","Abdel Rahman Fawzi"
"181860","1934","Abdel Sharli"
"48985","1934","Ali Al Sayyed El Kaf"
"292018","1934","Ali Mohammed El Kaf"
"62377","1934","Aziz Fahmy"
"69545","1934","Hafez Kasseb"
"314593","1934","Hany Kamel"
"48943","1934","Hassan El Far"
"56591","1934","Hassan Raghab"
"189531","1934","Ibrahim Halim"
"56578","1934","Ismail Rafa At"
"53581","1934","Kamel Mansour"
"198087","1934","Kamel Masoud"
"292019","1934","Mahmoud Moukhtar"
"69546","1934","Mahmoud Negro"
"50689","1934","Mohamed Helmy"
"52788","1934","Mohamed Latif"
"181862","1934","Mostafa Kamel Taha"
"69536","1934","Mostafa Mansour"
"58899","1934","Alex Thepot"
"45888","1934","Alfred Aston"
"48405","1934","Celestin Delmer"
"48382","1934","Edmond Delfour"
"59523","1934","Emile Veinante"
"53852","1934","Etienne Mattler"
"52015","1934","Fritz Keller"
"69529","1934","Georges Beaucourt"
"59574","1934","Georges Verriest"
"53449","1934","Jacques Mairesse"
"55121","1934","Jean Nicolas"
"45363","1934","Joseph Alcazar"
"69527","1934","Joseph Gonzalez"
"198083","1934","Jules Vandooren"
"69528","1934","Louis Gabrillargues"
"29657","1934","Lucien Laurent"
"53028","1934","Noel Lietaer"
"69532","1934","Pierre Korb"
"181856","1934","Rene Llense"
"69531","1934","Robert Defosse"
"69530","1934","Roger Courtois"
"56907","1934","Roger Rio"
"47914","1934","Edmund Conen"
"52908","1934","Ernest Lehner"
"45357","1934","Ernst Albrecht"
"69453","1934","Franz Dienert"
"47022","1934","Fritz Buchloh"
"58662","1934","Fritz Szepan"
"51401","1934","Hans Jakob"
"57745","1934","Hans Schwartz"
"46434","1934","Jakob Bender"
"181804","1934","Josef Streb"
"50950","1934","Karl Hohmann"
"50729","1934","Mathias Heidemann"
"58001","1934","Otto Siffling"
"51436","1934","Paul Janes"
"60354","1934","Paul Zielinski"
"54749","1934","Reinhold Muenzenberg"
"31521","1934","Rudolf Gramlich"
"55223","1934","Rudolf Noack"
"50608","1934","Sigmund Haringer"
"52297","1934","Stanislaus Kobierski"
"52507","1934","Willibald Kress"
"47086","1934","Willy Busch"
"58646","1934","Antal Szabo"
"58649","1934","Antal Szalay"
"58647","1934","Gabor Szabo"
"59017","1934","Geza Toldi"
"44605","1934","Gyorgy Sarosi"
"58678","1934","Gyorgy Szucs"
"49662","1934","Gyula Futo"
"174696","1934","Gyula Lazar"
"174871","1934","Gyula Polgar"
"53662","1934","Imre Markos"
"45939","1934","Istvan Avar"
"55849","1934","Istvan Palotas"
"58734","1934","Istvan Tamassy"
"69533","1934","Janos Dudas"
"59658","1934","Jeno Vincze"
"50422","1934","Jozsef Hada"
"59316","1934","Jozsef Vago"
"58428","1934","Laszlo Sternberg"
"58843","1934","Pal Teleki"
"314179","1934","Rezso Somlai"
"174404","1934","Sandor Biro"
"52028","1934","Tibor Kemeny"
"50277","1934","Anfilogino Guarisi"
"44610","1934","Angelo Schiavio"
"174460","1934","Armando Castellazzi"
"44040","1934","Atilio Demaria"
"174538","1934","Attilio Ferraris"
"174579","1934","Enrique Guaita"
"174778","1934","Eraldo Monzeglio"
"174420","1934","Felice Borel"
"44013","1934","Giampiero Combi"
"174537","1934","Giovanni Ferrari"
"69443","1934","Giuseppe Cavanna"
"174761","1934","Giuseppe Meazza"
"69444","1934","Guido Masetti"
"174337","1934","Luigi Allemandi"
"174394","1934","Luigi Bertolini"
"174777","1934","Luis Monti"
"174864","1934","Mario Pizziolo"
"69445","1934","Mario Varglien"
"181794","1934","Pietro Arcari"
"174825","1934","Raimundo Orsi"
"181793","1934","Umberto Caligaris"
"44581","1934","Virginio Rosetta"
"59426","1934","Adriaan Van Male"
"69485","1934","Alex Graafland"
"181834","1934","Arie Schoemaker"
"55787","1934","Bas Paauwe"
"46109","1934","Beb Bakhuys"
"59892","1934","Frank Wels"
"59388","1934","Gejus Van Der Meulen"
"56067","1934","Henk Pellikaan"
"69488","1934","Jaap Mol"
"69490","1934","Jan Van Diepenbeek"
"59431","1934","Joop Van Nellen"
"69489","1934","Kees Mijnders"
"58166","1934","Kick Smit"
"59550","1934","Leen Vente"
"69491","1934","Leo Halle"
"181835","1934","Manus Vrauwdeunt"
"59854","1934","Mauk Weber"
"44718","1934","Puck Van Heel"
"59435","1934","Sjef Van Run"
"69492","1934","Toon Oprinsen"
"45570","1934","Willem Anderiesen"
"69486","1934","Wim Langendaal"
"174932","1934","Adalbert Pullock"
"69501","1934","Alexandru Cuedan"
"59693","1934","Emerich Vogl"
"45360","1934","Gheorghe Albu"
"69502","1934","Gheorghe Ciolac"
"57838","1934","Gratian Sepi"
"46704","1934","Iuliu Bodola"
"54503","1934","Josif Moravetz"
"69500","1934","Lazar Sfera"
"52463","1934","Nicolae Kovacs"
"48019","1934","Rudolf Kotormany"
"46605","1934","Silviu Bindea"
"48634","1934","Stefan Dobay"
"48362","1934","Vasile Deheleanu"
"60387","1934","William Zombory"
"47457","1934","Chacho"
"47781","1934","Cilaurren"
"47792","1934","Ciriaco"
"46816","1934","Crisanto Bosch"
"49303","1934","Fede"
"50161","1934","Gorostiza"
"69550","1934","Hilario"
"47226","1934","I Guillermo Campanal"
"44539","1934","I Quincoces"
"51276","1934","Iraragorri"
"52723","1934","Isidro Langara"
"54667","1934","Jose Muguerza"
"55236","1934","Juan Nogues"
"52656","1934","Lafuente"
"181824","1934","Luis Marin"
"56771","1934","Luis Regueiro"
"53635","1934","Marculeta"
"59453","1934","Martin Ventolra"
"44774","1934","Ricardo Zamora"
"52859","1934","Simon Lecue"
"69551","1934","Sole"
"60238","1934","Zabalo"
"57242","1934","Anders Rydberg"
"69465","1934","Arvid Thoern"
"69462","1934","Eivar Widlund"
"314601","1934","Erik Granath"
"45596","1934","Ernst Andersson"
"48779","1934","Gosta Dunker"
"69467","1934","Gunnar Jansson"
"55566","1934","Gunnar Olsson"
"314602","1934","Karl Johnsson"
"52535","1934","Knut Kroon"
"45384","1934","Nils Axelsson"
"57136","1934","Nils Rosen"
"45602","1934","Otto Andersson"
"50374","1934","Ragnar Gustavsson"
"47310","1934","Rune Carlsson"
"198097","1934","Sven Andersson"
"51569","1934","Sven Jonasson"
"52017","1934","Tore Keller"
"69481","1934","Albert Buche"
"50337","1934","Albert Guinchard"
"51383","1934","Alfred Jaeck"
"174322","1934","Andre Abegglen"
"69479","1934","Arnaldo Ortelli"
"69476","1934","Edmond Loichot"
"69480","1934","Ernst Frick"
"51078","1934","Ernst Hufschmid"
"50924","1934","Erwin Hochstrasser"
"51368","1934","Fernand Jaccard"
"57765","1934","Frank Sechehaye"
"46824","1934","Giuseppe Bossi"
"52146","1934","Leopold Kielholz"
"69482","1934","Louis Gobet"
"69478","1934","Max Weiler"
"69483","1934","Otto Buehler"
"55978","1934","Raymond Pasello"
"69477","1934","Renato Bizzozero"
"28412","1934","Severino Minelli"
"59874","1934","Walter Weiler"
"51070","1934","Willy Huber"
"51384","1934","Willy Jaeggi"
"59706","1934","Willy Von Kaenel"
"69448","1934","Al Harker"
"48676","1934","Aldo Donelli"
"69447","1934","Bill Fiedler"
"61505","1934","Bill Lehmann"
"53981","1934","Bill Mclean"
"50076","1934","Billy Gonsalves"
"48142","1934","Ed Czerkiewicz"
"198094","1934","Francis Ryan"
"54468","1934","George Moorhouse"
"69449","1934","Herman Rapp"
"49709","1934","Jimmy Gallagher"
"69446","1934","Joe Martinelli"
"50912","1934","Julius Hjulian"
"56281","1934","Peter Pietras"
"69451","1934","Tom Amrhein"
"49494","1934","Tom Florie"
"69450","1934","Tom Lynch"
"48544","1934","Walter Dick"
