player_id,player_name,year,team
"60407","Adolfo Zumelzu","1930","Argentina"
"47685","Alberto Chividini","1930","Argentina"
"57749","Alejandro Scopelli","1930","Argentina"
"46826","Angel Bossio","1930","Argentina"
"44040","Atilio Demaria","1930","Argentina"
"174854","Carlos Peucelle","1930","Argentina"
"58320","Carlos Spadaro","1930","Argentina"
"69370","Edmundo Piaggio","1930","Argentina"
"55993","Fernando Paternoster","1930","Argentina"
"44726","Francisco Varallo","1930","Argentina"
"61693","Guillermo Stabile","1930","Argentina"
"48403","Jose Della Torre","1930","Argentina"
"46831","Juan Botasso","1930","Argentina"
"49178","Juan Evaristo","1930","Argentina"
"174777","Luis Monti","1930","Argentina"
"49376","Manuel Ferreira","1930","Argentina"
"49179","Mario Evaristo","1930","Argentina"
"56144","Natalio Perinetti","1930","Argentina"
"58521","Pedro Suarez","1930","Argentina"
"54812","Ramon Muttis","1930","Argentina"
"49942","Roberto Cerro","1930","Argentina"
"55634","Rodolfo Orlandini","1930","Argentina"
"69429","Alexis Chantraine","1930","Belgium"
"57303","Andre Saeys","1930","Belgium"
"46045","Arnold Badjou","1930","Belgium"
"50795","Auguste Hellemans","1930","Belgium"
"59711","Bernard Voorhoof","1930","Belgium"
"44993","Fernand Adams","1930","Belgium"
"48378","Gerard Delbeke","1930","Belgium"
"48350","Henri De Deken","1930","Belgium"
"54336","Jacques Moeschal","1930","Belgium"
"48550","Jan Diddens","1930","Belgium"
"182215","Jean De Bie","1930","Belgium"
"48290","Jean De Clerq","1930","Belgium"
"59575","Louis Versyp","1930","Belgium"
"51046","Nikolaas Hoydonckx","1930","Belgium"
"69427","Pierre Braine","1930","Belgium"
"55277","Theodore Nouwens","1930","Belgium"
"47563","Casiano Chavarria","1930","Bolivia"
"52741","Diogenes Lara","1930","Bolivia"
"55659","Eduardo Reyes Ortiz","1930","Bolivia"
"50043","Gumercindo Gomez","1930","Bolivia"
"46508","Jesus Bermudez","1930","Bolivia"
"45770","Jorge Argote","1930","Bolivia"
"59327","Jorge Balderrama","1930","Bolivia"
"47093","Jose Bustamante","1930","Bolivia"
"69392","Jose Noya","1930","Bolivia"
"69396","Luis Reyes Penaranda","1930","Bolivia"
"45355","Mario Alborta","1930","Bolivia"
"69391","Miguel Brito","1930","Bolivia"
"69395","Miguel Murillo","1930","Bolivia"
"54090","Rafael Mendez","1930","Bolivia"
"57350","Renato Sainz","1930","Bolivia"
"49356","Rene Fernandez","1930","Bolivia"
"48795","Segundo Durandal","1930","Bolivia"
"69382","Araken","1930","Brazil"
